Country,Continent,Rank,Title,Artists,Genre
Spain,Europe,8,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",Reggaeton
Spain,Europe,9,Amarillo,J Balvin,Reggaeton
Spain,Europe,10,"Hola, Nena (feat. Omar Montes)","Nyno Vargas, Omar Montes",Latin Urban
Spain,Europe,11,PORFA,"Feid, Justin Quiles",Reggaeton
Spain,Europe,12,Dime Bbsita,"Robledo, Alex Martini",Latin Trap
Spain,Europe,13,Tusa,"KAROL G, Nicki Minaj",Reggaeton
Spain,Europe,14,4 besos,"Lola Indigo, Rauw Alejandro, Lalo Ebratt",Latin Pop
Spain,Europe,15,MÁS DE UNA CITA,"Bad Bunny, Zion & Lennox",Reggaeton
Spain,Europe,16,Relación,Sech,Reggaeton
Spain,Europe,17,Rojo,J Balvin,Reggaeton
Spain,Europe,18,Yo Perreo Sola,Bad Bunny,Reggaeton
Spain,Europe,19,BAD CON NICKY,"Bad Bunny, Nicky Jam",Reggaeton
Spain,Europe,20,Loco,Beéle,Latin Pop
Spain,Europe,21,Una Mala (Remix),"El Completo Rd, Chimbala",Dembow
Spain,Europe,22,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Reggaeton
Spain,Europe,23,Se iluminaba,"Fred De Palma, Ana Mena",Latin Pop
Spain,Europe,24,Tattoo,Rauw Alejandro,Reggaeton
Spain,Europe,25,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",Reggaeton
Spain,Europe,26,Tak Tiki Tak,Harry Nach,Latin Trap
Spain,Europe,27,El Efecto,"Rauw Alejandro, Chencho Corleone",Reggaeton
Spain,Europe,28,Sur y Norte,"Nengo Flow, Anuel AA",Latin Trap
Spain,Europe,29,Enemigos,"Aitana, Reik",Latin Pop
Spain,Europe,30,Diosa,Myke Towers,Reggaeton
Spain,Europe,31,Confía,"Sech, Daddy Yankee",Reggaeton
Spain,Europe,32,Atrévete,Yago Roche,Reggaeton
Spain,Europe,33,Tu Eres Un Bom Bom - Remix,"Kafu Banton, Bad Gyal",Dancehall
Spain,Europe,34,Morado,J Balvin,Reggaeton
Spain,Europe,35,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Dance 
Spain,Europe,36,Blinding Lights,The Weeknd,Synth-Pop
Spain,Europe,37,Si Tú La Quieres,"David Bisbal, Aitana",Latin Pop
Spain,Europe,38,La Difícil,Bad Bunny,Reggaeton
Spain,Europe,39,La Cama - Remix,"Lunay, Myke Towers, Ozuna, Chencho Corleone, Rauw Alejandro",Reggaeton
Spain,Europe,40,Fantasias - Remix,"Rauw Alejandro, Anuel AA, Natti Natasha, Farruko, Lunay",Reggaeton
Spain,Europe,41,Dance Monkey,Tones And I,Pop
Spain,Europe,42,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Pop
Spain,Europe,43,Follow,"KAROL G, Anuel AA",Reggaeton
Spain,Europe,44,Pegamos Tela,"Lérica, Omar Montes, Abraham Mateo",Latin Pop
Spain,Europe,45,Locura,"Cali Y El Dandee, Sebastian Yatra",Latin Pop
Spain,Europe,46,Prendio (Remix),"Rvfv, Omar Montes, Daviles de Novelda",Latin Trap
Spain,Europe,47,Ponte Pa' Mi,"Rauw Alejandro, Myke Towers, Sky Rompiendo",Reggaeton
Spain,Europe,48,Gris,J Balvin,Latin Pop
Spain,Europe,49,Alocao (With Bad Gyal),"Omar Montes, Bad Gyal",Reggaeton
Spain,Europe,50,BYE ME FUI,Bad Bunny,Reggaeton
United States,North America,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",Hip Hop/Rap
United States,North America,2,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Dance Pop
United States,North America,3,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",Hip Hop/Rap
United States,North America,4,Blinding Lights,The Weeknd,Synth Pop
United States,North America,5,Blueberry Faygo,Lil Mosey,Hip Hop/Rap
United States,North America,6,Toosie Slide,Drake,Hip Hop/Rap
United States,North America,7,The Box,Roddy Ricch,Hip Hop/Rap
United States,North America,8,Party Girl,StaySolidRocky,Hip Hop/Rap
United States,North America,9,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Dance
United States,North America,10,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Hip Hop/Rap
United States,North America,11,WHATS POPPIN,Jack Harlow,Hip Hop/Rap
United States,North America,12,COOLER THAN A BITCH (feat. Roddy Ricch),"Gunna, Roddy Ricch",Hip Hop/Rap
United States,North America,13,GOOBA,6ix9ine,Hardcore Rap
United States,North America,14,DOLLAZ ON MY HEAD (feat. Young Thug),"Gunna, Young Thug",Hip Hop/Rap
United States,North America,15,After Party,Don Toliver,Hip Hop/Rap
United States,North America,16,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Pop
United States,North America,17,Life Is Good (feat. Drake),"Future, Drake",Hip Hop/Rap
United States,North America,18,Walk Em Down (feat. Roddy Ricch),"NLE Choppa, Roddy Ricch",Hip Hop/Rap
United States,North America,19,Righteous,Juice WRLD,Hip Hop/Rap
United States,North America,20,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",Lo-fi
United States,North America,21,Sunday Best,Surfaces,Indie Pop
United States,North America,22,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Pop
United States,North America,23,Flex (feat. Juice WRLD),"Polo G, Juice WRLD",Hip Hop/Rap
United States,North America,24,Circles,Post Malone,Pop Rock
United States,North America,25,Intentions (feat. Quavo),"Justin Bieber, Quavo",Pop
United States,North America,26,Don't Start Now,Dua Lipa,Dance Pop
United States,North America,27,In Your Eyes,The Weeknd,Synth Pop
United States,North America,28,Watermelon Sugar,Harry Styles,Pop Rock
United States,North America,29,Chicago Freestyle (feat. Giveon),"Drake, Giveon",Hip Hop/Rap
United States,North America,30,WUNNA,Gunna,Hip Hop/Rap
United States,North America,31,ROXANNE,Arizona Zervas,Pop Rap
United States,North America,32,Supalonely,"BENEE, Gus Dapperton",Indie Pop
United States,North America,33,Say So,Doja Cat,Pop
United States,North America,34,Falling,Trevor Daniel,Pop
United States,North America,35,goosebumps,Travis Scott,Hip Hop/Rap
United States,North America,36,Be Kind (with Halsey),"Marshmello, Halsey",EDM
United States,North America,37,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Pop
United States,North America,38,HIGHEST IN THE ROOM,Travis Scott,Hip Hop/Rap
United States,North America,39,Break My Heart,Dua Lipa,Dance Pop
United States,North America,40,Adore You,Harry Styles,Pop
United States,North America,41,SICKO MODE,Travis Scott,Hip Hop/Rap
United States,North America,42,TOP FLOOR (feat. Travis Scott),"Gunna, Travis Scott",Hip Hop/Rap
United States,North America,43,Turks (with Gunna & ft. Travis Scott),"NAV, Gunna, Travis Scott",Hip Hop/Rap
United States,North America,44,Play Date,Melanie Martinez,Indie Pop
United States,North America,45,Ballin' (with Roddy Ricch),"Mustard, Roddy Ricch",Hip Hop
United States,North America,46,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",Chill EDM
United States,North America,47,Solitaires (feat. Travis Scott),"Future, Travis Scott",Hip Hop/Rap
United States,North America,48,hot girl bummer,blackbear,Pop Rap
United States,North America,49,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",Hip Hop/Rap
United States,North America,50,Myron,Lil Uzi Vert,Hip Hop/Rap
